DATE,COMMUNITY CODE,,ANIMAL,LICENSE VOLUME
05/01/2018,CAS,Castleridge,DOGS,321
05/01/2018,CED,Cedarbrae,CATS,314
05/01/2018,CED,Cedarbrae,DOGS,627
05/01/2018,CHA,Chaparral,CATS,367
05/01/2018,CHA,Chaparral,DOGS,1392
05/01/2018,CHW,Charleswood,CATS,148
05/01/2018,CHW,Charleswood,DOGS,338
05/01/2018,CHN,Chinatown,CATS,3
05/01/2018,CHN,Chinatown,DOGS,23
05/01/2018,CHK,Chinook Park,CATS,49
05/01/2018,CHK,Chinook Park,DOGS,165
05/01/2018,CHR,Christie Park,CATS,33
05/01/2018,CHR,Christie Park,DOGS,139
05/01/2018,CIT,Citadel,CATS,270
05/01/2018,CIT,Citadel,DOGS,831
05/01/2018,CLI,Cliff Bungalow,CATS,56
05/01/2018,CLI,Cliff Bungalow,DOGS,81
05/01/2018,COA,Coach Hill,CATS,140
05/01/2018,COA,Coach Hill,DOGS,293
05/01/2018,COL,Collingwood,CATS,73
05/01/2018,COL,Collingwood,DOGS,255
05/01/2018,CPF,Copperfield,CATS,457
05/01/2018,CPF,Copperfield,DOGS,1184
05/01/2018,COR,Coral Springs,CATS,50
05/01/2018,COR,Coral Springs,DOGS,216
05/01/2018,CGR,Cougar Ridge,CATS,157
05/01/2018,CGR,Cougar Ridge,DOGS,509
05/01/2018,CHV,Country Hills Village,CATS,75
05/01/2018,CHV,Country Hills Village,DOGS,88
05/01/2018,COU,Country Hills,CATS,101
05/01/2018,COU,Country Hills,DOGS,239
05/01/2018,COV,Coventry Hills,CATS,495
05/01/2018,COV,Coventry Hills,DOGS,1467
05/01/2018,CRA,Cranston,CATS,511
05/01/2018,CRE,Crescent Heights,CATS,209
05/01/2018,CRE,Crescent Heights,DOGS,402
05/01/2018,CRM,Crestmont,CATS,27
05/01/2018,CRM,Crestmont,DOGS,134
05/01/2018,CUR,Currie Barracks,CATS,9
